CHAR_1,CHAR_2,CHAR_3,CHAR_5,CHAR_6,CHAR_7,FIRST_2,FIRST_3,FIRST_5,FIRST_6,FIRST_7,LEFTHAND_TEXT,CHAR_5_TEXT,CHAR_6_TEXT,CHAR_7_TEXT,Combined Text,PartSpecific,Part,Area,Type,Extra,Complete,Notes
C,4,0,3,1,.,C4,C40,C40.3,C40.31,C40.31,Malignant neoplasm of bone & articular cartilage of limbs,bones limb lower malignant neoplasm short,right,.,bones limb lower malignant neoplasm short right .,other,-,.,tumor,.,y,.
S,3,9,8,1,X,S3,S39,S39.8,S39.81,S39.81X,"Other & unspecified injuries of abdomen, lower back, & pelvis",injuries,abdomen,.,injuries abdomen .,other,abdomen,abdomen,trauma,injury,y,.
C,4,1,9,.,.,C4,C41,C41.9,C41.9,C41.9,Malignant neoplasm of bone & articular cartilage of other & unspecified sites,articular bone cartilage malignant neoplasm,.,.,articular bone cartilage malignant neoplasm . .,other,-,.,tumor,.,y,.
C,4,4,7,9,2,C4,C44,C44.7,C44.79,C44.792,Other malignant neoplasms of skin,hip including limb lower skin,malignant neoplasm,.,hip including limb lower skin malignant neoplasm .,other,-,.,tumor,.,y,.
C,4,7,9,.,.,C4,C47,C47.9,C47.9,C47.9,Malignant neoplasm of peripheral nerves & autonomic nervous system,autonomic malignant neoplasm nerves nervous peripheral system,.,.,autonomic malignant neoplasm nerves nervous peripheral system . .,other,-,.,tumor,.,y,.
S,3,9,9,2,X,S3,S39,S39.9,S39.92,S39.92X,"Other & unspecified injuries of abdomen, lower back, & pelvis",injury,lower,.,injury lower .,other,abdomen,abdomen,trauma,injury,y,.
D,2,2,6,1,.,D2,D22,D22.6,D22.61,D22.61,Melanocytic nevi,including limb melanocytic nevi shoulder upper,right,.,including limb melanocytic nevi shoulder upper right .,shoulder,arm,arm,tumor,joint,y,.
C,4,9,3,.,.,C4,C49,C49.3,C49.3,C49.3,Malignant neoplasm of other connective & soft tissue,connective malignant neoplasm soft thorax tissue,.,.,connective malignant neoplasm soft thorax tissue . .,other,-,.,tumor,.,y,.
C,4,9,9,.,.,C4,C49,C49.9,C49.9,C49.9,Malignant neoplasm of other connective & soft tissue,connective malignant neoplasm soft tissue,.,.,connective malignant neoplasm soft tissue . .,other,-,.,tumor,.,y,.
C,7,1,7,.,.,C7,C71,C71.7,C71.7,C71.7,Malignant neoplasm of brain,brain malignant neoplasm stem,.,.,brain malignant neoplasm stem . .,other,-,.,tumor,.,y,.
C,7,4,9,0,.,C7,C74,C74.9,C74.90,C74.90,Malignant neoplasm of adrenal gland,adrenal gland malignant neoplasm part,.,.,adrenal gland malignant neoplasm part . .,other,-,.,tumor,.,y,.
C,8,0,1,.,.,C8,C80,C80.1,C80.1,C80.1,Malignant neoplasm without specification of site,malignant neoplasm primary,.,.,malignant neoplasm primary . .,other,-,.,tumor,.,y,.
C,8,3,3,5,.,C8,C83,C83.3,C83.35,C83.35,Diffuse non-Hodgkin's lymphoma,bcell diffuse lymphoma,inguinal limb lower lymph nodes region,.,bcell diffuse lymphoma inguinal limb lower lymph nodes region .,other,-,.,tumor,.,y,.
C,8,5,2,2,.,C8,C85,C85.2,C85.22,C85.22,Other & unspecified types of non-Hodgkin's lymphoma,bcell lymphoma mediastinal thymic,intrathoracic lymph nodes,.,bcell lymphoma mediastinal thymic intrathoracic lymph nodes .,other,-,.,tumor,.,y,.
C,9,1,0,0,.,C9,C91,C91.0,C91.00,C91.00,Lymphoid leukemia,acute leukemia lymphoblastic,achieved remission,.,acute leukemia lymphoblastic achieved remission .,other,-,.,tumor,.,y,.
C,9,1,0,1,.,C9,C91,C91.0,C91.01,C91.01,Lymphoid leukemia,acute leukemia lymphoblastic,remission,.,acute leukemia lymphoblastic remission .,other,-,.,tumor,.,y,.
C,9,1,Z,0,.,C9,C91,C91.Z,C91.Z0,C91.Z0,Lymphoid leukemia,leukemia lymphoid,achieved remission,.,leukemia lymphoid achieved remission .,other,-,.,tumor,.,y,.
C,9,6,6,.,.,C9,C96,C96.6,C96.6,C96.6,"Other & unspecified malignant neoplasms of lymphoid, hematopoietic, & related tissue",histiocytosis langerhanscell unifocal,.,.,histiocytosis langerhanscell unifocal . .,other,-,.,tumor,.,y,.
D,3,6,1,2,.,D3,D36,D36.1,D36.12,D36.12,Benign neoplasm of other & unspecified sites,autonomic benign neoplasm nerves nervous peripheral system,including limb shoulder upper,.,autonomic benign neoplasm nerves nervous peripheral system including limb shoulder upper .,shoulder,arm,arm,tumor,joint,y,.
M,7,9,6,0,1,M7,M79,M79.6,M79.60,M79.601,Other soft tissue disorders,pain,arm leg,.,pain arm leg .,.,need last char,arm,musculoskeletal,"disorder, soft-tissue",y,.
D,1,6,1,1,.,D1,D16,D16.1,D16.11,D16.11,Benign neoplasm of bone & articular cartilage,benign bones limb neoplasm short upper,right,.,benign bones limb neoplasm short upper right .,other,-,.,tumor,.,y,.
D,1,6,1,2,.,D1,D16,D16.1,D16.12,D16.12,Benign neoplasm of bone & articular cartilage,benign bones limb neoplasm short upper,left,.,benign bones limb neoplasm short upper left .,other,-,.,tumor,.,y,.
D,1,6,2,1,.,D1,D16,D16.2,D16.21,D16.21,Benign neoplasm of bone & articular cartilage,benign bones limb lower neoplasm,right,.,benign bones limb lower neoplasm right .,other,-,.,tumor,.,y,.
D,1,6,2,2,.,D1,D16,D16.2,D16.22,D16.22,Benign neoplasm of bone & articular cartilage,benign bones limb lower neoplasm,left,.,benign bones limb lower neoplasm left .,other,-,.,tumor,.,y,.
D,1,6,3,1,.,D1,D16,D16.3,D16.31,D16.31,Benign neoplasm of bone & articular cartilage,benign bones limb lower neoplasm short,right,.,benign bones limb lower neoplasm short right .,other,-,.,tumor,.,y,.
D,1,6,3,2,.,D1,D16,D16.3,D16.32,D16.32,Benign neoplasm of bone & articular cartilage,benign bones limb lower neoplasm short,left,.,benign bones limb lower neoplasm short left .,other,-,.,tumor,.,y,.
M,7,9,6,0,2,M7,M79,M79.6,M79.60,M79.602,Other soft tissue disorders,pain,arm leg,.,pain arm leg .,.,need last char,arm,musculoskeletal,"disorder, soft-tissue",y,.
D,1,6,7,.,.,D1,D16,D16.7,D16.7,D16.7,Benign neoplasm of bone & articular cartilage,benign clavicle neoplasm ribs sternum,.,.,benign clavicle neoplasm ribs sternum . .,other,-,.,tumor,.,y,.
M,1,2,5,2,1,M1,M12,M12.5,M12.52,M12.521,Other specific arthropathies,arthropathy traumatic,elbow,.,arthropathy traumatic elbow .,elbow,arm,arm,musculoskeletal,joint,y,.
D,1,6,9,.,.,D1,D16,D16.9,D16.9,D16.9,Benign neoplasm of bone & articular cartilage,articular benign bone cartilage neoplasm,.,.,articular benign bone cartilage neoplasm . .,other,-,.,tumor,.,y,.
D,1,7,2,2,.,D1,D17,D17.2,D17.22,D17.22,Benign lipomatous neoplasm,benign lipomatous neoplasm skin subcutaneous tissue,arm left,.,benign lipomatous neoplasm skin subcutaneous tissue arm left .,other,-,.,tumor,.,y,.
D,1,7,2,4,.,D1,D17,D17.2,D17.24,D17.24,Benign lipomatous neoplasm,benign lipomatous neoplasm skin subcutaneous tissue,left leg,.,benign lipomatous neoplasm skin subcutaneous tissue left leg .,other,-,.,tumor,.,y,.
D,1,7,9,.,.,D1,D17,D17.9,D17.9,D17.9,Benign lipomatous neoplasm,benign lipomatous neoplasm,.,.,benign lipomatous neoplasm . .,other,-,.,tumor,.,y,.
D,1,8,0,0,.,D1,D18,D18.0,D18.00,D18.00,"Hemangioma & lymphangioma, any site",hemangioma,site,.,hemangioma site .,other,-,.,tumor,.,y,.
D,1,8,0,1,.,D1,D18,D18.0,D18.01,D18.01,"Hemangioma & lymphangioma, any site",hemangioma,skin subcutaneous tissue,.,hemangioma skin subcutaneous tissue .,other,-,.,tumor,.,y,.
M,1,9,0,2,1,M1,M19,M19.0,M19.02,M19.021,Other arthrosis,osteoarthritis primary,elbow,.,osteoarthritis primary elbow .,elbow,arm,arm,musculoskeletal,joint,y,.
M,1,9,0,2,2,M1,M19,M19.0,M19.02,M19.022,Other arthrosis,osteoarthritis primary,elbow,.,osteoarthritis primary elbow .,elbow,arm,arm,musculoskeletal,joint,y,.
D,2,1,9,.,.,D2,D21,D21.9,D21.9,D21.9,Other benign neoplasms of connective & other soft tissue,benign connective neoplasm soft tissue,.,.,benign connective neoplasm soft tissue . .,other,-,.,tumor,.,y,.
M,2,1,0,2,1,M2,M21,M21.0,M21.02,M21.021,Other acquired deformities of limbs,classified deformity valgus,elbow,.,classified deformity valgus elbow .,elbow,arm,arm,musculoskeletal,joint,y,.
D,2,2,9,.,.,D2,D22,D22.9,D22.9,D22.9,Melanocytic nevi,melanocytic nevi,.,.,melanocytic nevi . .,other,-,.,tumor,.,y,.
D,3,6,1,0,.,D3,D36,D36.1,D36.10,D36.10,Benign neoplasm of other & unspecified sites,autonomic benign neoplasm nerves nervous peripheral system,.,.,autonomic benign neoplasm nerves nervous peripheral system . .,other,-,.,tumor,.,y,.
M,2,1,0,2,2,M2,M21,M21.0,M21.02,M21.022,Other acquired deformities of limbs,classified deformity valgus,elbow,.,classified deformity valgus elbow .,elbow,arm,arm,musculoskeletal,joint,y,.
M,2,1,1,2,1,M2,M21,M21.1,M21.12,M21.121,Other acquired deformities of limbs,classified deformity varus,elbow,.,classified deformity varus elbow .,elbow,arm,arm,musculoskeletal,joint,y,.
D,4,8,0,.,.,D4,D48,D48.0,D48.0,D48.0,Neoplasm of uncertain or unknown behavior of other & unspecified sites,articular behavior bone cartilage neoplasm uncertain,.,.,articular behavior bone cartilage neoplasm uncertain . .,other,-,.,tumor,.,y,.
D,4,8,1,.,.,D4,D48,D48.1,D48.1,D48.1,Neoplasm of uncertain or unknown behavior of other & unspecified sites,behavior connective neoplasm soft tissue uncertain,.,.,behavior connective neoplasm soft tissue uncertain . .,other,-,.,tumor,.,y,.
D,4,8,2,.,.,D4,D48,D48.2,D48.2,D48.2,Neoplasm of uncertain or unknown behavior of other & unspecified sites,autonomic behavior neoplasm nerves nervous peripheral system uncertain,.,.,autonomic behavior neoplasm nerves nervous peripheral system uncertain . .,other,-,.,tumor,.,y,.
D,4,8,5,.,.,D4,D48,D48.5,D48.5,D48.5,Neoplasm of uncertain or unknown behavior of other & unspecified sites,behavior neoplasm skin uncertain,.,.,behavior neoplasm skin uncertain . .,other,-,.,tumor,.,y,.
D,4,9,2,.,.,D4,D49,D49.2,D49.2,D49.2,Neoplasm of uncertain or unknown behavior of other & unspecified sites,behavior bone neoplasm skin soft tissue,.,.,behavior bone neoplasm skin soft tissue . .,other,-,.,tumor,.,y,.
D,4,9,7,.,.,D4,D49,D49.7,D49.7,D49.7,Neoplasm of uncertain or unknown behavior of other & unspecified sites,behavior endocrine glands neoplasm nervous system,.,.,behavior endocrine glands neoplasm nervous system . .,other,-,.,tumor,.,y,.
D,5,5,0,.,.,D5,D55,D55.0,D55.0,D55.0,Anemia due to enzyme disorders,anemia deficiency dehydrogenase due g6pd glucose6phosphate,.,.,anemia deficiency dehydrogenase due g6pd glucose6phosphate . .,other,-,.,blood,.,y,.
D,5,7,1,.,.,D5,D57,D57.1,D57.1,D57.1,Sickle-cell disorders,crisis disease sicklecell,.,.,crisis disease sicklecell . .,other,-,.,blood,.,y,.
D,5,7,2,0,.,D5,D57,D57.2,D57.20,D57.20,Sickle-cell disorders,disease sicklecellhbc,crisis,.,disease sicklecellhbc crisis .,other,-,.,blood,.,y,.
D,5,7,2,1,9,D5,D57,D57.2,D57.21,D57.219,Sickle-cell disorders,disease sicklecellhbc,acute chest crisis sequestration splenic syndrome,.,disease sicklecellhbc acute chest crisis sequestration splenic syndrome .,other,-,.,blood,.,y,.
D,5,7,4,0,.,D5,D57,D57.4,D57.40,D57.40,Sickle-cell disorders,sicklecell thalassemia,crisis,.,sicklecell thalassemia crisis .,other,-,.,blood,.,y,.
D,6,8,0,.,.,D6,D68,D68.0,D68.0,D68.0,Other coagulation defects,disease von willebrands,.,.,disease von willebrands . .,other,-,.,blood,.,y,.
D,7,0,4,.,.,D7,D70,D70.4,D70.4,D70.4,Agranulocytosis,cyclic neutropenia,.,.,cyclic neutropenia . .,other,-,.,blood,.,y,.
D,7,2,0,.,.,D7,D72,D72.0,D72.0,D72.0,Other disorders of white blood cells,anomalies genetic leukocytes,.,.,anomalies genetic leukocytes . .,other,-,.,blood,.,y,.
D,7,6,3,.,.,D7,D76,D76.3,D76.3,D76.3,Certain diseases involving lymphoreticular tissue & reticulohistiocytic system,histiocytosis syndromes,.,.,histiocytosis syndromes . .,other,-,.,blood,.,y,.
D,8,2,1,.,.,D8,D82,D82.1,D82.1,D82.1,Immunodeficiency associated with other major defects,di georges syndrome,.,.,di georges syndrome . .,other,-,.,blood,.,y,.
D,8,3,9,.,.,D8,D83,D83.9,D83.9,D83.9,Common variable immunodeficiency,common immunodeficiency variable,.,.,common immunodeficiency variable . .,other,-,.,blood,.,y,.
E,2,3,0,.,.,E2,E23,E23.0,E23.0,E23.0,Hypofunction & other disorders of the pituitary gland,hypopituitarism,.,.,hypopituitarism . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,3,1,2,2,.,E3,E31,E31.2,E31.22,E31.22,Polyglandular dysfunction,endocrine multiple neoplasia,iia type,.,endocrine multiple neoplasia iia type .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,4,6,NA,.,.,E4,E46,E46,E46,E46,Unspecified protein-energy malnutrition,malnutrition proteincalorie,.,.,malnutrition proteincalorie . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,5,5,0,.,.,E5,E55,E55.0,E55.0,E55.0,Vitamin D deficiency,active rickets,.,.,active rickets . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,5,5,9,.,.,E5,E55,E55.9,E55.9,E55.9,Vitamin D deficiency,deficiency vitamin,.,.,deficiency vitamin . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,6,5,NA,.,.,E6,E65,E65,E65,E65,Localized adiposity,adiposity localized,.,.,adiposity localized . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,6,6,0,9,.,E6,E66,E66.0,E66.09,E66.09,Obesity,calories due excess obesity,.,.,calories due excess obesity . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,6,6,3,.,.,E6,E66,E66.3,E66.3,E66.3,Obesity,overweight,.,.,overweight . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,0,1,.,.,E7,E70,E70.1,E70.1,E70.1,Disorders of aromatic amino-acid metabolism,hyperphenylalaninemias,.,.,hyperphenylalaninemias . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,1,3,1,0,E7,E71,E71.3,E71.31,E71.310,Disorders of branched-chain amino-acid metabolism & fatty-acid metabolism,deficiency,acyl chain coa dehydrogenase,.,deficiency acyl chain coa dehydrogenase .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,1,5,0,.,E7,E71,E71.5,E71.50,E71.50,Disorders of branched-chain amino-acid metabolism & fatty-acid metabolism,adrenoleukodystrophy,disorder peroxisomal,.,adrenoleukodystrophy disorder peroxisomal .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,2,0,3,.,E7,E72,E72.0,E72.03,E72.03,Other disorders of amino-acid metabolism,aminoacid disorders transport,lowes syndrome,.,aminoacid disorders transport lowes syndrome .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,4,0,2,.,E7,E74,E74.0,E74.02,E74.02,Other disorders of carbohydrate metabolism,disease,pompe,.,disease pompe .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,5,2,4,2,E7,E75,E75.2,E75.24,E75.242,Disorders of sphingolipid metabolism & other lipid storage disorders,disease,niemannpick,.,disease niemannpick .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,5,2,9,.,E7,E75,E75.2,E75.29,E75.29,Disorders of sphingolipid metabolism & other lipid storage disorders,disease,sphingolipidosis,.,disease sphingolipidosis .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,5,4,.,.,E7,E75,E75.4,E75.4,E75.4,Disorders of sphingolipid metabolism & other lipid storage disorders,ceroid lipofuscinosis neuronal,.,.,ceroid lipofuscinosis neuronal . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,6,0,1,.,E7,E76,E76.0,E76.01,E76.01,Disorders of glycosaminoglycan metabolism,syndrome,hurlers,.,syndrome hurlers .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,6,1,.,.,E7,E76,E76.1,E76.1,E76.1,Disorders of glycosaminoglycan metabolism,ii mucopolysaccharidosis type,.,.,ii mucopolysaccharidosis type . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,6,2,1,0,E7,E76,E76.2,E76.21,E76.210,Disorders of glycosaminoglycan metabolism,mucopolysaccharidoses,morquio,.,mucopolysaccharidoses morquio .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,6,2,1,9,E7,E76,E76.2,E76.21,E76.219,Disorders of glycosaminoglycan metabolism,mucopolysaccharidoses,morquio,.,mucopolysaccharidoses morquio .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,7,0,.,.,E7,E77,E77.0,E77.0,E77.0,Disorders of glycoprotein metabolism,defects enzymes lysosomal modification posttranslational,.,.,defects enzymes lysosomal modification posttranslational . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,7,8,7,2,.,E7,E78,E78.7,E78.72,E78.72,Disorders of lipoprotein metabolism & other lipidemias,acid bile cholesterol metabolism syndrome,smithlemliopitz,.,acid bile cholesterol metabolism syndrome smithlemliopitz .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,8,3,3,1,.,E8,E83,E83.3,E83.31,E83.31,Disorders of mineral metabolism,metabolism phosphorus type,familial hypophosphatemia,.,metabolism phosphorus type familial hypophosphatemia .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,8,3,5,9,.,E8,E83,E83.5,E83.59,E83.59,Disorders of mineral metabolism,calcium metabolism,disorders,.,calcium metabolism disorders .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,8,4,9,.,.,E8,E84,E84.9,E84.9,E84.9,Cystic fibrosis,cystic fibrosis,.,.,cystic fibrosis . .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,8,8,4,0,.,E8,E88,E88.4,E88.40,E88.40,Other metabolic disorders,metabolism mitochondrial syndrome,disorder,.,metabolism mitochondrial syndrome disorder .,other,-,.,endocrine/nutrition/metabolic,.,y,.
E,8,8,8,9,.,E8,E88,E88.8,E88.89,E88.89,Other metabolic disorders,metabolic,disorders,.,metabolic disorders .,other,-,.,endocrine/nutrition/metabolic,.,y,.
F,0,7,8,1,.,F0,F07,F07.8,F07.81,F07.81,"Personality & behavioral disorders due to brain disease, damage, & dysfunction",behavioral condition disorders due personality physiological postconcussional syndrome,.,.,behavioral condition disorders due personality physiological postconcussional syndrome . .,other,-,.,mental/neuro,.,y,.
F,3,2,0,.,.,F3,F32,F32.0,F32.0,F32.0,Depressive episode,depressive disorder episode major mild single,.,.,depressive disorder episode major mild single . .,other,-,.,mental/neuro,.,y,.
F,3,2,9,.,.,F3,F32,F32.9,F32.9,F32.9,Depressive episode,depressive disorder episode major single,.,.,depressive disorder episode major single . .,other,-,.,mental/neuro,.,y,.
F,4,1,9,.,.,F4,F41,F41.9,F41.9,F41.9,Other anxiety disorders,anxiety disorder,.,.,anxiety disorder . .,other,-,.,mental/neuro,.,y,.
F,4,3,0,.,.,F4,F43,F43.0,F43.0,F43.0,"Reaction to severe stress, & adjustment disorders",acute reaction stress,.,.,acute reaction stress . .,other,-,.,mental/neuro,.,y,.
F,4,4,7,.,.,F4,F44,F44.7,F44.7,F44.7,Dissociative [conversion] disorders,conversion disorder mixed presentation symptom,.,.,conversion disorder mixed presentation symptom . .,other,-,.,mental/neuro,.,y,.
F,4,4,9,.,.,F4,F44,F44.9,F44.9,F44.9,Dissociative [conversion] disorders,conversion disorder dissociative,.,.,conversion disorder dissociative . .,other,-,.,mental/neuro,.,y,.
F,4,8,9,.,.,F4,F48,F48.9,F48.9,F48.9,Other neurotic disorders,disorder mental nonpsychotic,.,.,disorder mental nonpsychotic . .,other,-,.,mental/neuro,.,y,.
F,7,9,NA,.,.,F7,F79,F79,F79,F79,Unspecified mental retardation,disabilities intellectual,.,.,disabilities intellectual . .,other,-,.,mental/neuro,.,y,.
F,8,0,2,.,.,F8,F80,F80.2,F80.2,F80.2,Specific developmental disorders of speech & language,disorder language mixed receptiveexpressive,.,.,disorder language mixed receptiveexpressive . .,other,-,.,mental/neuro,.,y,.
F,8,0,9,.,.,F8,F80,F80.9,F80.9,F80.9,Specific developmental disorders of speech & language,developmental disorder language speech,.,.,developmental disorder language speech . .,other,-,.,mental/neuro,.,y,.
F,8,2,NA,.,.,F8,F82,F82,F82,F82,Specific developmental disorder of motor function,developmental disorder function motor specific,.,.,developmental disorder function motor specific . .,other,-,.,mental/neuro,.,y,.
F,8,4,0,.,.,F8,F84,F84.0,F84.0,F84.0,Pervasive developmental disorders,autistic disorder,.,.,autistic disorder . .,other,-,.,mental/neuro,.,y,.
F,8,4,2,.,.,F8,F84,F84.2,F84.2,F84.2,Pervasive developmental disorders,retts syndrome,.,.,retts syndrome . .,other,-,.,mental/neuro,.,y,.
F,8,4,5,.,.,F8,F84,F84.5,F84.5,F84.5,Pervasive developmental disorders,aspergers syndrome,.,.,aspergers syndrome . .,other,-,.,mental/neuro,.,y,.
F,8,4,9,.,.,F8,F84,F84.9,F84.9,F84.9,Pervasive developmental disorders,developmental disorder pervasive,.,.,developmental disorder pervasive . .,other,-,.,mental/neuro,.,y,.
F,8,8,NA,.,.,F8,F88,F88,F88,F88,Other disorders of psychological development,development disorders psychological,.,.,development disorders psychological . .,other,-,.,mental/neuro,.,y,.
F,9,0,0,.,.,F9,F90,F90.0,F90.0,F90.0,Hyperkinetic disorders,attentiondeficit disorder hyperactivity inattentive predominantly type,.,.,attentiondeficit disorder hyperactivity inattentive predominantly type . .,other,-,.,mental/neuro,.,y,.
F,9,0,2,.,.,F9,F90,F90.2,F90.2,F90.2,Hyperkinetic disorders,attentiondeficit combined disorder hyperactivity type,.,.,attentiondeficit combined disorder hyperactivity type . .,other,-,.,mental/neuro,.,y,.
F,9,0,8,.,.,F9,F90,F90.8,F90.8,F90.8,Hyperkinetic disorders,attentiondeficit disorder hyperactivity type,.,.,attentiondeficit disorder hyperactivity type . .,other,-,.,mental/neuro,.,y,.
F,9,0,9,.,.,F9,F90,F90.9,F90.9,F90.9,Hyperkinetic disorders,attentiondeficit disorder hyperactivity type,.,.,attentiondeficit disorder hyperactivity type . .,other,-,.,mental/neuro,.,y,.
F,9,1,3,.,.,F9,F91,F91.3,F91.3,F91.3,Conduct disorders,defiant disorder oppositional,.,.,defiant disorder oppositional . .,other,-,.,mental/neuro,.,y,.
F,9,5,2,.,.,F9,F95,F95.2,F95.2,F95.2,Tic disorders,disorder tourettes,.,.,disorder tourettes . .,other,-,.,mental/neuro,.,y,.
G,0,5,4,.,.,G0,G05,G05.4,G05.4,G05.4,"Encephalitis, myelitis, & encephalomyelitis",classified diseases myelitis,.,.,classified diseases myelitis . .,other,-,.,nervous,.,y,.
G,1,1,1,.,.,G1,G11,G11.1,G11.1,G11.1,Hereditary ataxia,ataxia cerebellar earlyonset,.,.,ataxia cerebellar earlyonset . .,other,-,.,nervous,.,y,.
G,1,1,3,.,.,G1,G11,G11.3,G11.3,G11.3,Hereditary ataxia,ataxia cerebellar defective dna repair,.,.,ataxia cerebellar defective dna repair . .,other,-,.,nervous,.,y,.
G,1,1,4,.,.,G1,G11,G11.4,G11.4,G11.4,Hereditary ataxia,hereditary paraplegia spastic,.,.,hereditary paraplegia spastic . .,other,-,.,nervous,.,y,.
G,1,2,0,.,.,G1,G12,G12.0,G12.0,G12.0,Spinal muscular atrophy & related syndromes,atrophy infantile muscular spinal type werdnighoffman,.,.,atrophy infantile muscular spinal type werdnighoffman . .,other,-,.,nervous,.,y,.
